date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,27.6,27.83,27.51,27.36,305912.75,-0.16,-0.58,27.626,28.286,27.471,365600.85,440825.92,380661.25,0.32
2017-11-09,27.52,27.79,27.67,27.3,234126.98,0.03,0.11,27.762,28.285,27.442,395504.0,454979.03,381862.01,0.24
2017-11-08,27.75,28.14,27.64,27.41,398661.28,-0.21,-0.75,28.118,28.271,27.413,421059.89,473843.01,387604.65,0.41
2017-11-07,27.36,27.95,27.85,27.3,379818.16,0.39,1.42,28.42,28.25,27.375,465913.88,478549.63,388971.46,0.39
2017-11-06,28.2,28.27,27.46,26.95,509485.09,-0.73,-2.59,28.642,28.165,27.312,482605.79,491486.61,388335.61,0.52
2017-11-03,29.23,29.52,28.19,28.05,455428.47,-1.26,-4.28,28.946,28.012,27.262,516050.99,460290.82,398448.23,0.47
2017-11-02,29.3,29.48,29.45,28.68,361906.47,0.3,1.03,28.808,27.809,27.165,514454.06,429339.51,392964.44,0.37
2017-11-01,28.96,30.54,29.15,28.73,622931.19,0.19,0.66,28.424,27.469,27.013,526626.14,413401.42,387986.47,0.64
2017-10-31,28.8,29.28,28.96,28.28,463277.75,-0.02,-0.07,28.08,27.197,26.898,491185.39,384513.55,375216.62,0.48
2017-10-30,27.5,29.0,28.98,27.41,676711.06,1.48,5.38,27.688,26.922,26.788,500367.43,356666.88,381704.96,0.7
2017-10-27,27.7,28.28,27.5,27.26,447443.84,-0.03,-0.11,27.078,26.655,26.645,404530.66,320496.58,384004.53,0.46
2017-10-26,27.3,27.88,27.53,26.91,422766.84,0.1,0.36,26.81,26.598,26.66,344224.97,308745.0,382786.99,0.44
2017-10-25,27.01,28.0,27.43,26.86,445727.44,0.43,1.59,26.514,26.555,26.704,300176.71,301366.28,388464.85,0.46
2017-10-24,25.81,27.2,27.0,25.81,509187.97,1.07,4.13,26.314,26.499,26.769,277841.7,299393.28,396833.27,0.52
2017-10-23,26.17,26.2,25.93,25.77,197527.2,-0.23,-0.88,26.156,26.458,26.857,212966.32,285184.61,431189.29,0.2
2017-10-20,26.0,26.23,26.16,25.73,145915.38,0.11,0.42,26.232,26.512,26.963,236462.5,336605.64,474465.08,0.15
2017-10-19,26.44,26.57,26.05,26.01,202525.56,-0.38,-1.44,26.386,26.521,27.12,273265.03,356589.37,544694.1,0.21
2017-10-18,26.21,26.56,26.43,25.61,334052.41,0.22,0.84,26.596,26.557,27.195,302555.86,362571.51,592102.62,0.34
2017-10-17,26.32,26.52,26.21,26.14,184811.06,-0.1,-0.38,26.684,26.598,27.162,320944.86,365919.69,598773.19,0.19
2017-10-16,26.96,26.97,26.31,26.13,315008.09,-0.62,-2.3,26.76,26.653,27.114,357402.9,406743.04,611645.72,0.32
2017-10-13,27.2,27.58,26.93,26.81,329928.03,-0.17,-0.63,26.792,26.634,27.063,436748.77,447512.48,625033.98,0.34
2017-10-12,26.99,27.2,27.1,26.72,348979.69,0.23,0.86,26.656,26.722,27.006,439913.7,456828.99,648325.97,0.36
2017-10-11,26.69,27.27,26.87,26.47,425997.41,0.28,1.05,26.518,26.852,26.949,422587.16,475563.42,694605.48,0.44
2017-10-10,26.4,26.69,26.59,26.19,367101.28,0.12,0.45,26.512,27.038,26.796,410894.51,494273.26,691391.59,0.38
2017-10-09,27.45,27.65,26.47,26.24,711737.44,0.22,0.84,26.546,27.256,26.654,456083.17,577193.98,700026.17,0.73
2017-09-29,26.56,26.8,26.25,26.0,345752.69,-0.16,-0.61,26.476,27.413,26.479,458276.19,612324.53,677853.47,0.36
2017-09-28,27.0,27.15,26.41,26.4,262347.0,-0.43,-1.6,26.788,27.718,26.31,473744.28,732798.83,680919.85,0.27
2017-09-27,27.0,27.28,26.84,26.52,367534.16,0.08,0.3,27.186,27.833,26.151,528539.68,821633.74,682747.18,0.38
2017-09-26,26.12,27.22,26.76,26.1,593044.56,0.64,2.45,27.564,27.725,25.971,577652.0,831626.7,681230.58,0.61
2017-09-25,27.2,27.2,26.12,26.1,722702.56,-1.69,-6.08,27.966,27.575,25.801,698304.79,816548.4,673409.03,0.74
2017-09-22,28.39,28.67,27.81,27.52,423093.12,-0.59,-2.08,28.35,27.491,25.696,766372.87,802555.49,682197.79,0.44
2017-09-21,28.5,29.06,28.4,27.75,536324.0,-0.33,-1.15,28.648,27.289,25.465,991853.37,839822.95,685238.06,0.55
2017-09-20,28.5,29.55,28.73,28.0,613095.75,-0.04,-0.14,28.48,27.046,25.2,1114727.8,913647.54,667446.31,0.63
2017-09-19,28.27,30.1,28.77,28.1,1196308.5,0.73,2.6,27.886,26.553,24.925,1085601.4,888509.92,647902.58,1.23
2017-09-18,29.01,29.74,28.04,27.99,1063043.0,-1.26,-4.3,27.184,26.052,24.647,934792.02,822858.37,613293.33,1.09
2017-09-15,27.5,30.22,29.3,27.47,1550495.62,1.74,6.31,26.632,25.544,24.376,838738.1,743382.4,574532.8,1.6
2017-09-14,25.78,28.06,27.56,25.55,1150696.12,1.8,6.99,25.93,24.902,24.052,687792.52,629040.87,524644.26,1.19
2017-09-13,25.3,26.05,25.76,24.99,467463.75,0.5,1.98,25.612,24.469,23.77,712567.28,543860.62,476996.89,0.48
2017-09-12,25.03,25.47,25.26,24.82,442261.62,-0.02,-0.08,25.22,24.217,23.575,691418.45,530834.46,465101.95,0.46
2017-09-11,25.61,26.39,25.28,25.03,582773.38,-0.51,-1.98,24.92,24.027,23.413,710924.71,530269.65,455374.99,0.6
2017-09-08,25.9,26.28,25.79,25.16,795767.75,-0.18,-0.69,24.456,23.9,23.247,648026.71,561840.09,446279.84,0.82
