date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-10,21.39,22.69,22.12,21.21,59796.08,0.66,3.08,21.554,21.191,21.268,31341.58,26007.11,23410.73,9.97
2017-11-09,21.5,21.77,21.47,21.28,25884.45,-0.1,-0.46,21.294,21.103,21.29,22909.82,21820.42,21877.14,4.31
2017-11-08,21.28,21.86,21.57,21.22,33459.49,0.29,1.36,21.218,21.118,21.322,22336.89,21523.69,22017.83,5.58
2017-11-07,21.33,21.48,21.28,21.11,16389.51,-0.05,-0.23,21.112,21.105,21.364,20028.76,20187.27,22046.58,2.73
2017-11-06,21.03,21.37,21.33,20.83,21178.37,0.51,2.45,21.004,21.09,21.417,19781.82,20598.09,22714.6,3.53
2017-11-03,21.0,21.25,20.82,20.73,17637.28,-0.27,-1.28,20.828,21.099,21.444,20672.64,19967.71,22641.73,2.94
2017-11-02,21.01,21.4,21.09,20.8,23019.82,0.05,0.24,20.912,21.131,21.488,20731.01,19375.32,22947.01,3.84
2017-11-01,20.67,21.26,21.04,20.66,21918.83,0.3,1.45,21.018,21.109,21.51,20710.49,19174.38,23352.6,3.65
2017-10-31,20.43,20.82,20.74,20.4,15154.82,0.29,1.42,21.098,21.117,21.554,20345.77,19531.48,23386.32,2.53
2017-10-30,21.1,21.41,20.45,20.22,25632.47,-0.79,-3.72,21.176,21.223,21.601,21414.35,19707.6,25038.01,4.27
2017-10-27,21.64,21.74,21.24,21.19,17929.11,-0.38,-1.76,21.37,21.345,21.706,19262.77,20814.34,25325.73,2.99
2017-10-26,21.36,21.67,21.62,21.34,22917.21,0.18,0.84,21.35,21.476,21.798,18019.62,21933.86,26663.01,3.82
2017-10-25,21.23,21.46,21.44,21.15,20095.26,0.31,1.47,21.2,21.526,21.86,17638.27,22511.98,27689.56,3.35
2017-10-24,21.4,21.4,21.13,20.8,20497.68,-0.29,-1.35,21.136,21.622,21.952,18717.19,23905.89,29187.81,3.42
2017-10-23,21.22,21.43,21.42,21.14,14874.6,0.28,1.32,21.27,21.743,22.051,18000.85,24831.11,29947.5,2.48
2017-10-20,20.87,21.2,21.14,20.85,11713.37,0.27,1.29,21.32,21.789,22.132,22365.91,25315.75,31075.06,1.95
2017-10-19,21.02,21.22,20.87,20.85,21010.44,-0.25,-1.18,21.602,21.845,22.233,25848.1,26518.71,32737.94,3.5
2017-10-18,21.67,21.92,21.12,21.1,25489.87,-0.68,-3.12,21.852,21.91,22.347,27385.68,27530.83,35097.84,4.25
2017-10-17,21.61,21.97,21.8,21.61,16915.98,0.13,0.6,22.108,21.991,22.474,29094.6,27241.15,37556.33,2.82
2017-10-16,22.55,22.6,21.67,21.61,36699.88,-0.88,-3.9,22.216,21.978,22.578,31661.37,30368.42,42821.1,6.12
2017-10-13,22.1,22.58,22.55,22.01,29124.33,0.43,1.94,22.258,22.066,22.748,28265.59,29837.12,48351.01,4.85
2017-10-12,22.48,22.5,22.12,22.01,28698.36,-0.28,-1.25,22.088,22.12,22.888,27189.32,31392.15,56214.15,4.78
2017-10-11,22.34,22.54,22.4,22.25,34034.43,0.06,0.27,21.968,22.193,22.998,27675.97,32867.15,61719.27,5.67
2017-10-10,21.91,22.35,22.34,21.72,29749.86,0.46,2.1,21.874,22.282,23.119,25387.7,34469.72,68509.37,4.96
2017-10-09,21.98,22.2,21.88,21.86,19720.99,0.18,0.83,21.74,22.359,23.196,29075.46,35063.89,71398.96,3.29
2017-09-29,21.52,21.81,21.7,21.47,23742.95,0.18,0.84,21.874,22.475,23.282,31408.65,36834.38,75259.53,3.96
2017-09-28,21.84,21.97,21.52,21.51,31131.64,-0.41,-1.87,22.152,22.62,23.409,35594.98,38957.17,80277.44,5.19
2017-09-27,21.68,22.07,21.93,21.65,22593.07,0.26,1.2,22.418,22.784,23.576,38058.32,42664.85,86573.69,3.77
2017-09-26,22.55,22.72,21.67,21.53,48188.65,-0.88,-3.9,22.69,22.957,23.667,43551.74,47871.5,94131.79,8.03
2017-09-25,22.96,23.19,22.55,22.52,31386.94,-0.54,-2.34,22.978,23.177,23.822,41052.33,55273.78,104293.89,5.23
2017-09-22,22.76,23.23,23.09,22.46,44674.61,0.24,1.05,23.076,23.43,23.923,42260.11,66864.9,112045.11,7.45
2017-09-21,23.23,23.65,22.85,22.8,43448.34,-0.44,-1.89,23.088,23.655,23.935,42319.37,81036.14,118349.89,7.24
2017-09-20,22.94,23.42,23.29,22.63,50060.16,0.18,0.78,23.15,23.802,23.903,47271.39,90571.39,122861.82,8.34
2017-09-19,23.0,23.29,23.11,22.95,35691.58,0.07,0.3,23.224,23.955,23.836,52191.26,102549.01,124317.19,5.95
2017-09-18,22.96,23.15,23.04,22.65,37425.85,-0.11,-0.47,23.376,24.032,23.779,69495.24,107734.03,127367.42,6.24
2017-09-15,23.2,23.5,23.15,22.9,44970.9,-0.01,-0.04,23.784,24.089,23.706,91469.69,113684.68,128810.33,7.5
2017-09-14,23.69,23.85,23.16,23.08,68208.44,-0.5,-2.11,24.222,24.198,23.585,119752.92,121597.7,129047.84,11.37
2017-09-13,23.52,23.99,23.66,23.32,74659.55,-0.21,-0.88,24.454,24.367,23.489,133871.39,130482.53,128493.47,12.44
2017-09-12,25.01,25.01,23.87,23.84,122211.46,-1.21,-4.83,24.686,24.376,23.383,152906.76,140392.08,128208.6,20.37
2017-09-11,25.29,26.25,25.08,24.82,147298.08,-0.26,-1.03,24.688,24.466,23.249,145972.82,153313.99,124781.25,24.55
2017-09-08,23.81,25.48,25.34,23.81,186387.06,1.02,4.19,24.394,24.415,23.04,135899.67,157225.32,119755.23,31.06
2017-09-07,24.59,25.09,24.32,24.29,138800.81,-0.5,-2.02,24.174,24.214,22.811,123442.49,155663.64,114051.13,23.13
2017-09-06,23.4,24.88,24.82,22.86,169836.39,0.94,3.94,24.28,24.004,22.682,127093.66,155152.26,110114.87,28.31
2017-09-05,24.45,24.45,23.88,23.32,87541.74,0.27,1.14,24.066,23.716,22.527,127877.41,146085.38,105552.6,14.59
2017-09-04,23.93,24.15,23.61,23.32,96932.35,-0.63,-2.6,24.244,23.525,22.442,160655.16,147000.82,106917.14,16.16
2017-09-01,24.81,25.35,24.24,23.86,124101.14,-0.61,-2.46,24.436,23.322,22.424,178550.97,143935.98,108079.35,20.68
2017-08-31,23.61,24.89,24.85,23.6,157056.7,1.1,4.63,24.254,22.971,22.376,187884.79,136497.98,110760.67,26.18
2017-08-30,24.0,24.85,23.75,23.0,173755.11,-1.02,-4.12,23.728,22.61,22.379,183210.86,126504.4,116695.15,28.96
2017-08-29,24.17,26.46,24.77,24.11,251430.5,0.2,0.81,23.366,22.39,22.472,164293.34,116025.12,108092.98,41.91
2017-08-28,23.65,24.95,24.57,23.32,186411.38,1.24,5.32,22.806,22.031,22.397,133346.48,96248.52,95533.18,31.07
2017-08-25,21.81,23.98,23.33,21.71,170770.27,1.11,5.0,22.208,21.664,22.227,109320.99,82285.14,86221.56,28.46
2017-08-24,22.15,22.98,22.22,21.93,133687.02,0.28,1.28,21.688,21.407,22.022,85111.16,72438.62,77693.6,22.28
2017-08-23,21.79,22.29,21.94,21.5,79167.55,-0.03,-0.14,21.492,21.359,22.012,69797.95,65077.49,74746.57,13.19
2017-08-22,21.7,22.17,21.97,21.32,96696.17,0.39,1.81,21.414,21.337,22.016,67756.89,65019.81,74500.96,16.12
2017-08-21,20.84,21.6,21.58,20.75,66283.92,0.85,4.1,21.256,21.359,22.018,59150.56,66833.46,73195.36,11.05
2017-08-18,21.06,21.06,20.73,20.7,49721.15,-0.51,-2.4,21.12,21.526,22.046,55249.29,72222.73,73627.33,8.29
2017-08-17,21.4,21.49,21.24,21.2,57120.97,-0.31,-1.44,21.126,21.78,22.133,59766.08,85023.35,75221.07,9.52
2017-08-16,21.24,21.64,21.55,21.14,68962.26,0.37,1.75,21.226,22.147,22.197,60357.02,106885.9,76513.94,11.49
2017-08-15,20.84,21.23,21.18,20.72,53664.48,0.28,1.34,21.26,22.553,22.247,62282.74,100160.84,77094.84,8.94
2017-08-14,20.83,21.01,20.9,20.5,46777.57,0.14,0.67,21.462,22.763,22.336,74516.36,94817.84,79047.37,7.8
2017-08-11,21.75,21.75,20.76,20.7,72305.1,-0.98,-4.51,21.932,22.789,22.466,89196.16,90157.98,81980.98,12.05
2017-08-10,21.69,22.22,21.74,21.56,60075.71,0.02,0.09,22.434,22.637,22.637,110280.63,82948.57,82948.57,10.01
2017-08-09,22.0,22.34,21.72,21.51,78590.82,-0.47,-2.12,23.068,22.737,22.737,153414.77,85490.0,85490.0,13.1
2017-08-08,23.09,23.09,22.19,22.1,114832.61,-1.06,-4.56,23.846,22.864,22.864,138038.95,86352.4,86352.4,19.14
2017-08-07,23.3,23.88,23.25,22.93,120176.58,-0.02,-0.09,24.064,22.96,22.96,115119.32,82283.8,82283.8,20.03
2017-08-04,24.05,24.34,23.27,22.93,177727.44,-1.64,-6.58,23.646,22.912,22.912,91119.8,75968.33,75968.33,29.62
2017-08-03,25.6,26.98,24.91,23.81,275746.41,-0.7,-2.73,22.84,22.84,22.84,55616.51,55616.51,55616.51,45.96
2017-08-02,25.61,25.61,25.61,25.61,1711.72,2.33,10.01,22.323,22.323,22.323,584.04,584.04,584.04,0.29
2017-08-01,23.28,23.28,23.28,23.28,234.43,2.12,10.02,21.227,21.227,21.227,208.14,208.14,208.14,0.04
2017-07-31,21.16,21.16,21.16,21.16,179.0,1.92,9.98,20.2,20.2,20.2,195.0,195.0,195.0,0.03
2017-07-28,16.03,19.24,19.24,16.03,211.0,5.88,44.01,19.24,19.24,19.24,211.0,211.0,211.0,0.04
